Topic,Question,Answer
Auto Debit Arrangement,What is Traditional Auto Debit Arrangement?,Traditional Auto Debit Arrangement is a service that lets customers subscribe to an automated debit schedule by filling out printed ADA Forms based on selected bank.
Auto Debit Arrangement,What are the requirements for an Traditional Auto Debit Arrangement (ADA)?,"You must have a savings account with one of the following banks: BPI, Metrobank, RCBC, BDO, Unionbank, Security Bank and PNB"
Auto Debit Arrangement,How to enroll for Auto-Debit Arrangement (ADA)?,"If you want to enroll for ADA as your payment method during application, please bring your bank account information, such as Full Name registered on your bank and your bank account number. Our Sales Agent will be glad to process your ADA enrollment."
Auto Debit Arrangement,How would I know if my Traditional Auto-Debit Arrangement (ADA) application was approved or rejected?,"An SMS will be sent within 15 banking days of filling out the ADA form informing you of the approval or rejection. Should the application be rejected, you are still free to pay your installment through any of our accredited payment channels like Maya, Shopee, Palawan Express, USSC and Touchpay."
Auto Debit Arrangement,When will you debit the payment from my account if I am enrolled to Traditional ADA/eADA?,"Debiting of payment is based on the recommended due date stated on your account, which is three (3) calendar days prior to your due date. This is done so that in case debiting from your bank account is unsuccessful, you would still have three (3) days to pay the installment through other channels so as to avoid late payment."
Auto Debit Arrangement,I am enrolled in Auto Debit Arrangement (Traditional or eADA). How will I know if my payment was successfully debited on my bank account?,"You will receive an SMS & email within the day from your payment to confirm status. You can view your transaction through My Payments web portal or My Home Credit App. But in case that your ADA is unsuccessful, you will receive an SMS notification stating that we were unable to deduct on your account. Please coordinate this with your bank. For the meantime, you may pay your monthly installment through our accredited payment channels."
Loan,How do I apply for a loan?,You can start your loan application via My Home Credit App from Google Playstore prior to visiting our retail partner stores to continue the process or you can go directly to our retail partner stores and have our Sales Associate or Retail Associate to assist you. You can check the list of retails partner here.
Loan,What types of loans do you offer?,"We offer Product Loans through in-store financing. We can help finance your purchase which you can repay through easy, monthly installments.

Home Credit currently finances:

  - Gadgets (such as mobile phones, tablets, and laptops)
  - Home Appliances
  - Electronics (such as TVs, HIFI, and Cameras)
  - Furniture
  - Musical instruments
  - Hardware Tools
  - Ebike
  - Sporting Goods
  - Auto Supplies and Services
  - Beauty &Wellness
  - Optical
  - Events
  - Trainings
  - Home Improvement
  - Medical Supplies and Devices
  - Apparel Store
  - Department Store
  - Hardware Store
  - Toy Store
  - Motorcycle Accessories Store

Selected Product Loans also come with Qwarta, a virtual credit limit which you can use to buy load, pay bills, and scan-to-pay at your favorite stores!

We also offer Cash Loans to existing eligible Home Credit customers. Click here to learn more about Cash Loan."
Loan,What is Home Credit Loan?,Home Credit Loan allows you to buy any product or consumer good in affordable monthly installments instead of paying the full price in one transaction.
Loan,What are the requirements to apply for a loan?,"Please bring the following:

One (1) government-issued valid ID that indicates your address AND date of birth. If any of two are not satisfied, a second document ID bearing the missing information from the primary ID will be required for presentation.

Down payment."
Loan,Where are you located?,"You can find us in more than 14,500 stores. Click here to find a store near you."
Loan,Can I buy multiple items at the same time?,Yes! Most partner stores offer bundling. You can purchase up to three items provided they are not the same item type and subject for approval.
Pay Bills,What is the Pay Bill feature in the My Home Credit app?,Pay Bill is a new feature availabe in My Home Credit app that lets you pay for your bills with over 3000 billing partners.
Pay Bills,Who can use the Pay Bill feature in the My Home Credit app?,All Home Credit customers with a registered account in the My Home Credit app can use the Pay Bill feature provided they have a Home Credit Card and a Home Credit Qwarta.
Pay Bills,How do I pay my bills online using the My Home Credit app?,"Make sure to update your My Home Credit app to the latest version and simply follow these easy steps:
1.	Tap Pay Bills in the dashboard of your My Home Credit app.
2.	Select the category of the billing partner you want to pay.
3.	Enter your billing details (i.e. account name, account number and the amount to pay).
4.	Choose the payment method you want to use and confirm your payment details.
5.	A receipt will pop-up once your payment is successful."
Pay Bills,What do I do if the transaction amount was deducted from my balance but the transaction failed?,"If the amount was deducted from your selected payment option and you still receive an error message, please send an e-mail to info@homecredit.ph for proper resolution and include the transaction reference number and a screenshot of the error message."
Pay Bills,What should I do if I encounter an error while making a payment?,"You may try again and if error is persistent, send an e-mail to info@homecredit.ph and include a screenshot of the error message."
Pay Bills,What are the requirements when I pay bills in the My Home Credit app?,"Download or update to the latest version of the My Home Credit app. Make sure that your Home Credit Card or Qwarta has sufficient balance to cover your bill. Lastly, be ready with the billing details."
Pay Bills,Are there any processing or convenience fees included when paying bills with the My Home Credit app?,Zero fees!
Pay Bills,What should I do if my payment is not posted?,"Some billing partners may take up to 3 business days before your payment is posted. If your payment is still not posted after 3 business days, you may send an e-mail to info@homecredit.ph with the name of the billing partner, the transaction number, and the date and time you made your payment to help you trace your payment."
Pay Bills,What are the possible reasons why my payment will not push through?,"Payments may not push through possibly because the balance on your payment option is insufficient or there is an issue with the billing information provided. If you feel you have this covered, feel free to send an e-mail to info@homecredit.ph for further assistance."
